sensor_measurement_11,sensor_measurement_4,sensor_measurement_12,sensor_measurement_7,sensor_measurement_15,sensor_measurement_21,sensor_measurement_20,sensor_measurement_2,sensor_measurement_17,sensor_measurement_3,sensor_measurement_8,sensor_measurement_13,sensor_measurement_14,sensor_measurement_9,sensor_measurement_10,sensor_measurement_1,sensor_measurement_19,sensor_measurement_18,sensor_measurement_6,label,dataset_source
47.41,1399.13,522.57,554.68,8.4323,23.2841,39.01,642.35,390,1582.84,2388.12,2388.08,8127.3,9049.84,1.3,518.67,100.0,2388,21.61,normal,train
47.24,1400.99,522.41,554.25,8.4189,23.3597,38.93,641.91,393,1584.83,2388.05,2388.06,8133.06,9050.47,1.3,518.67,100.0,2388,21.61,normal,train
47.4,1396.08,522.19,554.37,8.4065,23.411,39.05,642.2,390,1593.52,2388.07,2388.0,8137.86,9045.62,1.3,518.67,100.0,2388,21.61,normal,train
47.41,1396.9,521.95,554.13,8.4104,23.3353,38.94,642.02,392,1584.18,2388.08,2388.06,8125.28,9058.78,1.3,518.67,100.0,2388,21.61,normal,train
47.25,1400.36,521.92,554.96,8.4148,23.4999,39.02,642.33,392,1591.38,2388.04,2388.07,8129.7,9050.97,1.3,518.67,100.0,2388,21.61,normal,train
47.28,1402.43,521.91,554.61,8.3753,23.3506,38.83,642.71,392,1588.4,2388.04,2388.08,8134.42,9047.13,1.3,518.67,100.0,2388,21.61,normal,train
47.47,1400.48,521.7,554.3,8.4349,23.3092,38.81,642.54,392,1581.47,2388.03,2388.09,8126.61,9046.46,1.3,518.67,100.0,2388,21.61,normal,train
47.31,1403.0,521.75,554.3,8.443,23.4164,39.13,642.44,391,1590.0,2388.04,2388.01,8140.17,9045.76,1.3,518.67,100.0,2388,21.61,normal,train
47.25,1405.54,522.32,554.53,8.4246,23.4308,38.86,642.54,392,1581.72,2388.01,2388.04,8132.48,9044.56,1.3,518.67,100.0,2388,21.61,normal,train
47.29,1398.9,522.29,554.63,8.4142,23.4352,38.99,641.99,392,1579.11,2388.07,2388.04,8131.95,9055.44,1.3,518.67,100.0,2388,21.61,normal,train
47.27,1399.5,522.42,554.7,8.4158,23.4768,39.06,641.93,392,1589.6,2388.08,2388.08,8136.61,9055.27,1.3,518.67,100.0,2388,21.61,normal,train
47.12,1400.69,522.23,553.97,8.414,23.3699,38.7,642.01,392,1583.21,2388.02,2388.05,8131.81,9051.76,1.3,518.67,100.0,2388,21.61,normal,train
47.33,1401.77,521.84,554.57,8.3784,23.3769,38.84,642.24,392,1582.08,2388.06,2388.01,8131.03,9052.98,1.3,518.67,100.0,2388,21.61,normal,train
47.09,1403.21,522.07,553.72,8.437,23.4444,39.13,642.4,392,1591.31,2388.06,2388.03,8138.08,9048.99,1.3,518.67,100.0,2388,21.61,normal,train
47.49,1401.38,522.23,553.94,8.4137,23.375,39.0,642.12,392,1584.66,2388.08,2388.05,8130.88,9057.06,1.3,518.67,100.0,2388,21.61,normal,train
47.32,1406.05,522.74,553.68,8.4068,23.3148,38.99,642.24,392,1591.52,2388.03,2388.09,8127.22,9057.88,1.3,518.67,100.0,2388,21.61,normal,train
47.45,1401.2,522.3,554.15,8.4201,23.4753,39.06,641.93,392,1586.94,2388.04,2388.0,8131.45,9046.87,1.3,518.67,100.0,2388,21.61,normal,train
47.45,1399.16,521.73,553.83,8.4099,23.3943,38.79,642.53,393,1582.42,2388.08,2388.05,8128.31,9060.32,1.3,518.67,100.0,2388,21.61,normal,train
47.2,1401.27,522.02,553.76,8.3977,23.3745,38.93,642.43,393,1588.29,2388.06,2388.08,8128.71,9060.38,1.3,518.67,100.0,2388,21.61,normal,train
47.22,1402.89,521.84,554.38,8.3973,23.4873,38.99,642.21,392,1580.32,2388.06,2388.05,8126.21,9052.04,1.3,518.67,100.0,2388,21.61,normal,train
47.4,1399.16,521.91,554.02,8.4376,23.365,38.94,641.89,392,1588.51,2388.08,2388.06,8129.99,9045.26,1.3,518.67,100.0,2388,21.61,normal,train
47.22,1397.76,521.37,554.23,8.4151,23.4498,39.06,642.23,392,1584.35,2388.07,2388.04,8135.48,9050.64,1.3,518.67,100.0,2388,21.61,normal,train
47.47,1403.62,522.33,553.92,8.4116,23.4106,38.85,642.77,392,1588.49,2388.06,2388.09,8127.3,9048.6,1.3,518.67,100.0,2388,21.61,normal,train
47.12,1400.42,521.91,553.73,8.4504,23.3651,38.94,642.81,393,1585.54,2388.02,2388.05,8134.36,9047.09,1.3,518.67,100.0,2388,21.61,normal,train
47.07,1395.57,522.1,553.04,8.4539,23.3388,39.0,642.76,391,1583.77,2388.04,2388.07,8132.82,9056.01,1.3,518.67,100.0,2388,21.61,normal,train
47.29,1402.26,521.96,554.16,8.4418,23.3775,38.9,642.61,392,1579.82,2388.05,2388.06,8134.38,9051.15,1.3,518.67,100.0,2388,21.61,normal,train
47.38,1401.2,522.44,553.95,8.4189,23.2348,38.96,642.42,392,1592.59,2388.04,2388.06,8129.95,9056.29,1.3,518.67,100.0,2388,21.61,normal,train
47.4,1401.58,522.11,554.45,8.4071,23.3567,39.06,642.41,392,1584.95,2388.04,2388.02,8134.1,9048.94,1.3,518.67,100.0,2388,21.61,normal,train
47.26,1400.76,522.48,553.98,8.4022,23.3408,38.68,642.49,391,1586.33,2388.01,2388.04,8135.4,9042.42,1.3,518.67,100.0,2388,21.61,normal,train
47.29,1402.79,521.62,553.42,8.4263,23.3567,38.84,642.13,392,1583.67,2388.05,2388.08,8135.48,9050.8,1.3,518.67,100.0,2388,21.61,normal,train
47.26,1397.99,522.21,554.14,8.4319,23.2893,38.93,641.9,390,1590.46,2388.09,2388.04,8132.08,9050.33,1.3,518.67,100.0,2388,21.61,normal,train
47.26,1403.51,521.32,554.62,8.4476,23.4444,38.92,642.33,392,1596.72,2388.07,2388.02,8128.81,9050.06,1.3,518.67,100.0,2388,21.61,normal,train
47.41,1403.07,522.49,554.0,8.3878,23.387,38.89,642.34,393,1582.75,2388.06,2388.03,8132.89,9051.69,1.3,518.67,100.0,2388,21.61,normal,train
47.31,1405.52,522.34,554.09,8.4264,23.3638,38.89,642.1,391,1583.55,2388.11,2388.09,8131.66,9050.58,1.3,518.67,100.0,2388,21.61,normal,train
47.28,1399.54,522.19,554.45,8.4071,23.2707,39.03,642.17,391,1581.59,2388.1,2388.1,8132.28,9053.62,1.3,518.67,100.0,2388,21.61,normal,train
47.51,1395.38,521.56,553.48,8.4357,23.3436,38.77,642.6,394,1592.14,2388.06,2388.01,8130.73,9049.96,1.3,518.67,100.0,2388,21.61,normal,train
47.45,1400.11,521.82,553.88,8.4066,23.384,38.93,642.23,391,1584.51,2388.1,2388.04,8128.15,9043.67,1.3,518.67,100.0,2388,21.61,normal,train
47.56,1403.24,521.54,553.97,8.4406,23.3752,38.9,642.28,392,1584.72,2388.03,2388.13,8132.94,9044.01,1.3,518.67,100.0,2388,21.61,normal,train
47.14,1399.52,521.76,554.0,8.3911,23.3152,38.95,642.5,391,1588.5,2388.06,2388.05,8128.32,9059.45,1.3,518.67,100.0,2388,21.61,normal,train
47.39,1403.02,522.64,554.31,8.3925,23.291,38.97,642.33,393,1590.22,2388.1,2388.08,8134.07,9050.24,1.3,518.67,100.0,2388,21.61,normal,train
47.36,1404.42,521.72,554.04,8.4242,23.3174,38.95,642.51,392,1582.06,2388.1,2388.07,8132.39,9051.78,1.3,518.67,100.0,2388,21.61,normal,train
47.41,1401.24,522.22,554.65,8.4292,23.3742,39.0,642.44,392,1590.7,2388.07,2388.1,8129.13,9050.59,1.3,518.67,100.0,2388,21.61,normal,train
47.41,1402.78,521.93,554.01,8.4279,23.4513,38.86,642.22,392,1584.02,2388.11,2388.12,8130.36,9053.43,1.3,518.67,100.0,2388,21.61,normal,train
47.3,1403.09,521.72,554.06,8.423,23.3881,38.8,642.21,391,1580.41,2388.03,2388.09,8134.28,9046.09,1.3,518.67,100.0,2388,21.61,normal,train
47.27,1406.81,521.97,553.76,8.3951,23.3085,38.84,642.41,391,1579.25,2388.07,2388.09,8133.95,9054.42,1.3,518.67,100.0,2388,21.61,normal,train
47.29,1397.93,522.04,553.88,8.404,23.3975,39.03,642.29,391,1592.04,2388.03,2388.1,8129.85,9049.64,1.3,518.67,100.0,2388,21.61,normal,train
47.58,1401.48,522.25,554.03,8.4135,23.382,38.8,642.96,392,1584.65,2388.07,2387.97,8132.67,9045.85,1.3,518.67,100.0,2388,21.61,normal,train
47.22,1394.82,521.77,553.6,8.4621,23.3521,38.89,641.96,392,1582.32,2388.07,2388.11,8130.13,9042.32,1.3,518.67,100.0,2388,21.61,normal,train
47.44,1398.94,521.58,553.66,8.3996,23.4428,39.02,642.21,390,1589.21,2388.02,2388.03,8136.44,9056.55,1.3,518.67,100.0,2388,21.61,normal,train
47.41,1400.97,521.6,554.61,8.453,23.275,38.99,642.55,393,1586.3,2388.06,2388.08,8135.25,9046.44,1.3,518.67,100.0,2388,21.61,normal,train
47.4,1404.1,522.28,553.47,8.3793,23.3486,38.88,641.99,392,1580.76,2388.08,2388.16,8133.91,9042.37,1.3,518.67,100.0,2388,21.61,normal,train
47.35,1403.93,521.85,553.77,8.4132,23.3121,38.9,642.12,394,1582.46,2388.04,2388.13,8135.4,9047.86,1.3,518.67,100.0,2388,21.61,normal,train
47.64,1393.58,521.52,553.91,8.4235,23.3613,38.89,641.94,392,1591.96,2388.06,2388.1,8134.66,9043.67,1.3,518.67,100.0,2388,21.61,normal,train
47.43,1402.04,521.66,553.88,8.4247,23.373,38.77,642.73,392,1584.82,2388.1,2388.05,8128.87,9045.31,1.3,518.67,100.0,2388,21.61,normal,train
47.25,1399.17,521.95,554.18,8.3986,23.2713,38.89,642.04,393,1589.07,2388.1,2388.03,8134.04,9048.22,1.3,518.67,100.0,2388,21.61,normal,train
47.22,1406.38,521.93,553.49,8.4128,23.3274,38.8,642.66,391,1588.05,2388.08,2388.05,8131.32,9049.08,1.3,518.67,100.0,2388,21.61,normal,train
47.38,1406.6,521.54,553.91,8.4139,23.2653,38.73,642.64,392,1585.52,2388.05,2388.06,8131.54,9050.47,1.3,518.67,100.0,2388,21.61,normal,train
47.36,1405.96,522.3,554.4,8.4499,23.284,39.01,642.28,392,1590.12,2388.01,2388.05,8135.31,9056.08,1.3,518.67,100.0,2388,21.61,normal,train
47.38,1403.56,521.82,553.69,8.4173,23.3945,38.94,641.84,394,1588.8,2388.1,2388.09,8130.06,9047.26,1.3,518.67,100.0,2388,21.61,normal,train
47.34,1413.1,521.43,554.1,8.4326,23.3402,38.88,642.33,391,1586.69,2388.14,2388.06,8130.41,9050.52,1.3,518.67,100.0,2388,21.61,normal,train
47.46,1406.09,522.2,554.48,8.4586,23.3086,38.9,641.96,392,1581.29,2388.07,2388.04,8131.47,9046.73,1.3,518.67,100.0,2388,21.61,normal,train
47.46,1402.22,521.55,553.91,8.4489,23.3288,38.95,642.24,392,1584.73,2388.05,2388.08,8135.15,9055.24,1.3,518.67,100.0,2388,21.61,normal,train
47.32,1412.93,521.49,552.88,8.3961,23.4712,38.98,642.67,391,1584.38,2388.1,2388.09,8129.72,9051.27,1.3,518.67,100.0,2388,21.61,normal,train
47.32,1404.76,521.55,553.54,8.3949,23.3842,39.11,641.98,394,1584.84,2388.04,2388.1,8134.4,9050.72,1.3,518.67,100.0,2388,21.61,normal,train
47.45,1400.77,521.91,553.81,8.3982,23.3522,38.99,642.89,392,1590.03,2388.14,2388.05,8131.39,9048.36,1.3,518.67,100.0,2388,21.61,normal,train
47.46,1408.48,521.43,554.07,8.421,23.2477,38.86,642.85,392,1593.74,2388.07,2388.08,8133.15,9047.87,1.3,518.67,100.0,2388,21.61,normal,train
47.48,1404.94,521.61,553.86,8.4524,23.3758,38.85,642.45,393,1583.27,2388.15,2388.07,8132.4,9045.83,1.3,518.67,100.0,2388,21.61,normal,train
47.38,1410.1,521.92,553.91,8.4575,23.3269,38.76,642.86,394,1577.6,2388.02,2388.02,8131.63,9048.85,1.3,518.67,100.0,2388,21.61,normal,train
47.39,1395.16,521.66,553.34,8.4311,23.3255,38.88,642.19,392,1584.07,2388.07,2388.06,8130.69,9048.71,1.3,518.67,100.0,2388,21.61,normal,train
47.46,1407.81,521.67,553.4,8.4105,23.2963,39.01,642.07,392,1595.77,2388.09,2388.06,8128.74,9046.1,1.3,518.67,100.0,2388,21.61,normal,train
47.37,1404.56,522.31,552.75,8.4012,23.2554,38.96,642.0,391,1591.11,2388.06,2388.06,8127.89,9045.49,1.3,518.67,100.0,2388,21.61,normal,train
47.4,1406.13,521.42,553.76,8.4481,23.2323,38.82,642.46,393,1592.73,2388.08,2388.1,8131.77,9045.14,1.3,518.67,100.0,2388,21.61,normal,train
47.64,1411.35,521.55,554.22,8.4241,23.409,38.93,642.22,392,1589.63,2388.07,2388.08,8132.49,9045.72,1.3,518.67,100.0,2388,21.61,normal,train
47.62,1403.41,521.89,553.37,8.4353,23.4149,38.75,642.75,391,1584.18,2388.06,2388.08,8125.97,9052.3,1.3,518.67,100.0,2388,21.61,normal,train
47.49,1403.42,521.38,553.42,8.4561,23.3653,38.94,642.85,393,1589.11,2388.15,2388.05,8130.4,9051.36,1.3,518.67,100.0,2388,21.61,normal,train
47.57,1403.21,521.41,553.64,8.4263,23.4289,38.69,642.21,392,1581.27,2388.09,2388.1,8124.4,9053.28,1.3,518.67,100.0,2388,21.61,normal,train
47.34,1406.25,522.38,553.66,8.4021,23.3393,38.96,642.29,392,1590.63,2388.08,2388.09,8131.89,9044.73,1.3,518.67,100.0,2388,21.61,normal,train
47.31,1403.22,521.81,553.11,8.4326,23.3857,38.77,642.01,393,1588.28,2388.09,2388.08,8134.01,9048.36,1.3,518.67,100.0,2388,21.61,normal,train
47.44,1404.45,521.51,553.6,8.4664,23.4148,39.08,642.68,392,1589.05,2388.08,2388.09,8126.38,9049.82,1.3,518.67,100.0,2388,21.61,normal,train
47.35,1407.73,521.75,553.74,8.4241,23.4086,39.01,642.53,396,1595.13,2388.07,2388.07,8132.4,9048.68,1.3,518.67,100.0,2388,21.61,normal,train
47.61,1399.47,521.52,554.43,8.4133,23.3032,38.75,643.49,393,1585.91,2388.14,2388.03,8131.52,9047.03,1.3,518.67,100.0,2388,21.61,normal,train
47.58,1409.1,521.62,553.59,8.3757,23.3561,39.05,642.49,394,1586.45,2388.1,2388.11,8130.97,9051.13,1.3,518.67,100.0,2388,21.61,normal,train
47.55,1401.27,522.01,554.08,8.4638,23.2951,39.06,642.55,393,1590.01,2388.13,2388.12,8127.16,9051.4,1.3,518.67,100.0,2388,21.61,normal,train
47.62,1408.11,521.53,553.49,8.4447,23.2135,38.92,642.67,392,1584.38,2388.12,2388.14,8132.4,9051.64,1.3,518.67,100.0,2388,21.61,normal,train
47.22,1401.84,521.9,553.19,8.4445,23.3207,38.84,642.66,394,1586.46,2388.06,2388.08,8131.52,9051.28,1.3,518.67,100.0,2388,21.61,normal,train
47.46,1406.59,521.75,552.91,8.458,23.3101,38.9,642.68,393,1590.85,2388.1,2388.16,8129.32,9053.15,1.3,518.67,100.0,2388,21.61,normal,train
47.58,1402.97,521.68,554.29,8.429,23.3754,38.89,642.31,394,1588.42,2388.07,2388.15,8132.36,9046.58,1.3,518.67,100.0,2388,21.61,normal,train
47.43,1406.6,521.36,554.13,8.4345,23.3022,38.93,642.66,393,1594.84,2388.11,2388.12,8127.6,9050.37,1.3,518.67,100.0,2388,21.61,normal,train
47.43,1401.99,521.6,554.4,8.4059,23.3512,39.03,642.64,394,1580.31,2388.08,2388.05,8134.46,9049.71,1.3,518.67,100.0,2388,21.61,normal,train
47.52,1409.35,521.22,554.59,8.4256,23.1766,38.73,642.38,391,1589.77,2388.1,2388.1,8126.12,9049.61,1.3,518.67,100.0,2388,21.61,normal,train
47.55,1409.34,521.31,554.25,8.4197,23.2966,38.88,642.34,393,1585.67,2388.1,2388.12,8135.21,9051.12,1.3,518.67,100.0,2388,21.61,normal,train
47.55,1404.46,521.46,553.77,8.4194,23.3188,39.01,642.67,394,1596.8,2388.1,2388.09,8123.85,9045.89,1.3,518.67,100.0,2388,21.61,normal,train
47.6,1407.68,521.34,553.66,8.4029,23.3061,38.81,642.81,393,1593.78,2388.1,2388.1,8125.57,9048.72,1.3,518.67,100.0,2388,21.61,normal,train
47.44,1411.9,521.3,553.7,8.4263,23.422,38.63,642.63,394,1593.56,2388.07,2388.04,8133.94,9040.97,1.3,518.67,100.0,2388,21.61,normal,train
47.6,1413.97,520.92,553.43,8.4256,23.2793,38.86,643.3,393,1593.68,2388.15,2388.12,8131.81,9042.39,1.3,518.67,100.0,2388,21.61,normal,train
47.41,1403.04,521.6,552.64,8.4396,23.292,38.9,643.39,392,1586.66,2388.12,2388.17,8129.72,9049.44,1.3,518.67,100.0,2388,21.61,normal,train
47.55,1402.28,521.4,552.26,8.4416,23.2341,38.8,642.48,393,1587.14,2388.13,2388.13,8133.82,9053.03,1.3,518.67,100.0,2388,21.61,normal,train
47.63,1406.42,521.57,552.44,8.4079,23.3039,38.68,642.96,394,1585.47,2388.13,2388.11,8126.33,9046.16,1.3,518.67,100.0,2388,21.61,normal,train
47.49,1418.5,521.35,553.72,8.4378,23.2289,38.85,642.49,392,1582.64,2388.05,2388.08,8130.94,9049.11,1.3,518.67,100.0,2388,21.61,normal,train
47.63,1399.49,521.34,553.81,8.4626,23.2772,38.91,642.99,393,1586.9,2388.09,2388.1,8133.0,9047.9,1.3,518.67,100.0,2388,21.61,normal,train
47.62,1407.06,521.96,552.74,8.4413,23.2641,38.85,642.47,393,1593.87,2388.13,2388.16,8132.08,9056.59,1.3,518.67,100.0,2388,21.61,normal,train
47.61,1408.42,522.02,552.42,8.4681,23.2656,38.84,642.41,393,1591.33,2388.09,2388.13,8127.33,9046.08,1.3,518.67,100.0,2388,21.61,normal,train
47.46,1412.25,521.49,552.66,8.3938,23.3461,38.71,642.7,394,1585.9,2388.13,2388.07,8125.29,9042.97,1.3,518.67,100.0,2388,21.61,normal,train
47.7,1413.25,521.45,553.7,8.4328,23.3435,38.73,643.01,391,1585.78,2388.11,2388.13,8126.38,9045.1,1.3,518.67,100.0,2388,21.61,normal,train
47.56,1405.76,521.64,553.16,8.4227,23.3186,38.53,643.19,393,1596.06,2388.17,2388.16,8128.92,9044.04,1.3,518.67,100.0,2388,21.61,normal,train
47.57,1410.11,521.23,553.82,8.4604,23.2521,38.95,642.45,394,1592.64,2388.11,2388.09,8130.93,9050.95,1.3,518.67,100.0,2388,21.61,normal,train
47.75,1402.67,521.52,553.2,8.4293,23.2833,38.68,642.85,393,1583.62,2388.11,2388.13,8131.3,9046.16,1.3,518.67,100.0,2388,21.61,normal,train
47.34,1406.83,520.99,553.09,8.4242,23.2744,38.85,642.45,392,1585.55,2388.14,2388.12,8129.34,9050.65,1.3,518.67,100.0,2388,21.61,normal,train
47.43,1404.39,521.54,554.18,8.4469,23.1699,38.76,642.84,393,1584.72,2388.06,2388.11,8130.43,9040.89,1.3,518.67,100.0,2388,21.61,normal,train
47.89,1405.15,521.63,553.39,8.449,23.2593,38.87,642.43,394,1594.69,2388.14,2388.12,8128.81,9040.55,1.3,518.67,100.0,2388,21.61,normal,train
47.4,1413.34,521.57,552.91,8.4208,23.3664,39.0,642.79,392,1589.82,2388.11,2388.18,8129.67,9049.64,1.3,518.67,100.0,2388,21.61,normal,train
47.67,1412.6,521.03,553.25,8.4621,23.3422,38.88,643.11,394,1592.28,2388.06,2388.15,8124.97,9044.81,1.3,518.67,100.0,2388,21.61,normal,train
47.51,1408.36,521.27,552.15,8.4397,23.3704,38.82,643.05,393,1590.89,2388.17,2388.05,8130.27,9055.85,1.3,518.67,100.0,2388,21.61,normal,train
47.49,1415.25,521.06,553.45,8.4641,23.2382,39.02,642.39,394,1590.02,2388.13,2388.16,8120.93,9050.86,1.3,518.67,100.0,2388,21.61,normal,train
47.59,1413.42,520.44,553.11,8.4291,23.2816,38.71,642.51,392,1595.29,2388.1,2388.18,8124.87,9046.61,1.3,518.67,100.0,2388,21.61,normal,train
47.52,1404.21,520.98,553.62,8.4419,23.2305,38.79,642.77,393,1593.1,2388.13,2388.11,8126.81,9050.63,1.3,518.67,100.0,2388,21.61,normal,train
47.57,1405.76,521.11,553.77,8.4601,23.2249,38.75,643.09,393,1591.89,2388.17,2388.17,8125.47,9049.33,1.3,518.67,100.0,2388,21.61,normal,train
47.54,1409.63,521.13,553.03,8.4644,23.149,38.67,642.95,395,1594.92,2388.13,2388.15,8130.91,9046.92,1.3,518.67,100.0,2388,21.61,normal,train
47.63,1408.82,521.13,552.6,8.4312,23.3233,38.69,642.72,392,1586.75,2388.12,2388.12,8129.19,9045.99,1.3,518.67,100.0,2388,21.61,normal,train
47.8,1409.96,520.92,553.09,8.4428,23.2684,38.77,642.25,393,1594.85,2388.14,2388.12,8126.13,9041.24,1.3,518.67,100.0,2388,21.61,normal,train
47.49,1411.89,521.08,552.84,8.4276,23.2498,38.77,643.02,392,1590.03,2388.16,2388.15,8124.48,9040.93,1.3,518.67,100.0,2388,21.61,normal,train
47.83,1410.7,521.13,552.54,8.4731,23.2565,38.77,642.9,394,1592.78,2388.17,2388.15,8124.34,9057.24,1.3,518.67,100.0,2388,21.61,normal,train
47.6,1409.22,520.5,553.57,8.4726,23.2082,38.68,643.06,394,1589.01,2388.12,2388.21,8122.99,9044.76,1.3,518.67,100.0,2388,21.61,normal,train
47.58,1411.94,520.94,552.41,8.4612,23.2277,38.56,642.82,394,1592.39,2388.14,2388.22,8127.21,9048.12,1.3,518.67,100.0,2388,21.61,normal,train
47.72,1420.83,520.39,552.62,8.4572,23.2369,38.77,642.67,395,1598.6,2388.18,2388.19,8119.0,9043.9,1.3,518.67,100.0,2388,21.61,normal,train
47.74,1414.56,520.69,552.68,8.4435,23.1719,38.78,642.99,393,1589.17,2388.14,2388.17,8124.14,9049.43,1.3,518.67,100.0,2388,21.61,normal,train
47.73,1416.07,520.72,552.57,8.4794,23.2366,38.82,642.81,394,1597.03,2388.14,2388.18,8129.24,9049.08,1.3,518.67,100.0,2388,21.61,normal,train
47.61,1414.89,521.23,552.89,8.4729,23.2749,38.68,642.83,394,1590.4,2388.16,2388.17,8120.41,9049.56,1.3,518.67,100.0,2388,21.61,normal,train
47.58,1421.23,520.75,553.24,8.4432,23.2791,38.77,643.04,395,1585.61,2388.26,2388.16,8128.48,9044.21,1.3,518.67,100.0,2388,21.61,normal,train
47.72,1412.47,520.94,552.32,8.4328,23.2354,38.67,642.2,392,1598.04,2388.14,2388.17,8125.07,9053.12,1.3,518.67,100.0,2388,21.61,normal,train
47.68,1410.09,520.88,553.19,8.4368,23.2894,38.75,642.88,394,1596.82,2388.2,2388.22,8126.33,9049.22,1.3,518.67,100.0,2388,21.61,normal,train
